,Date,Revenue,Orders,AOV,Product_id
1093,2023-07-11,0.0,175,0.0,
1094,2023-07-11,0.0,0,,1
1095,2023-07-11,2689.5679999999998,3,896.5226666666666,2
1096,2023-07-11,41.425999999999995,4,10.356499999999999,9
1097,2023-07-11,3356.1499999999996,192,17.479947916666664,10
1098,2023-07-11,2454.27,88,27.88943181818182,11
1099,2023-07-11,281.792,22,12.808727272727271,12
1100,2023-07-11,3211.5859999999993,183,17.54965027322404,13
1101,2023-07-11,0.0,0,,4
1102,2023-07-11,120.58199999999998,24,5.024249999999999,6
1103,2023-07-11,1380.876,8,172.6095,7
1104,2023-07-11,0.0,0,,8
1105,2023-07-11,22.89,4,5.7225,14
1106,2023-07-11,136.14999999999998,98,1.389285714285714,16
1107,2023-07-11,1867.5159999999998,147,12.704190476190476,18
1108,2023-07-12,0.0,164,0.0,
1109,2023-07-12,0.0,0,,1
1110,2023-07-12,5196.9259999999995,8,649.6157499999999,2
1111,2023-07-12,0.0,0,,3
1112,2023-07-12,57.60999999999999,6,9.601666666666665,9
1113,2023-07-12,3276.3779999999997,193,16.9760518134715,10
1114,2023-07-12,2432.052,90,27.0228,11
1115,2023-07-12,86.24,11,7.84,12
1116,2023-07-12,3101.826,192,16.15534375,13
1117,2023-07-12,0.0,0,,4
1118,2023-07-12,58.56199999999999,15,3.904133333333333,6
1119,2023-07-12,832.8879999999999,6,138.81466666666665,7
1120,2023-07-12,0.0,0,,8
1121,2023-07-12,23.183999999999997,4,5.795999999999999,14
1122,2023-07-12,204.47,101,2.0244554455445543,16
1123,2023-07-12,0.0,0,,17
1124,2023-07-12,2210.656,174,12.704919540229884,18
1125,2023-07-13,0.0,199,0.0,
1126,2023-07-13,0.0,0,,1
1127,2023-07-13,0.0,0,,2
1128,2023-07-13,27.831999999999997,3,9.277333333333333,9
1129,2023-07-13,4487.111999999999,288,15.580249999999998,10
1130,2023-07-13,3296.188,126,26.160222222222224,11
1131,2023-07-13,240.562,22,10.934636363636365,12
1132,2023-07-13,3039.8059999999996,179,16.982156424581003,13
1133,2023-07-13,0.0,0,,4
1134,2023-07-13,75.11,14,5.365,6
1135,2023-07-13,944.8879999999999,8,118.11099999999999,7
1136,2023-07-13,30.911999999999995,1,30.911999999999995,8
1137,2023-07-13,30.898,6,5.149666666666667,14
1138,2023-07-13,175.57399999999998,137,1.2815620437956203,16
1139,2023-07-13,2200.562,172,12.79396511627907,18
1140,2023-07-14,0.0,172,0.0,
1141,2023-07-14,0.0,0,,1
1142,2023-07-14,188.454,1,188.454,2
1143,2023-07-14,41.958,4,10.4895,9
1144,2023-07-14,4219.208,288,14.650027777777776,10
1145,2023-07-14,2816.1839999999997,106,26.56777358490566,11
1146,2023-07-14,65.26799999999999,11,5.933454545454544,12
1147,2023-07-14,2824.388,165,17.11750303030303,13
1148,2023-07-14,0.0,0,,4
1149,2023-07-14,50.413999999999994,10,5.041399999999999,6
1150,2023-07-14,1168.594,7,166.942,7
1151,2023-07-14,29.721999999999998,1,29.721999999999998,8
1152,2023-07-14,30.996,6,5.1659999999999995,14
1153,2023-07-14,159.278,116,1.3730862068965517,16
1154,2023-07-14,0.0,0,,17
1155,2023-07-14,1875.944,150,12.506293333333334,18
1156,2023-07-15,0.0,204,0.0,
1157,2023-07-15,0.0,0,,1
1158,2023-07-15,396.46599999999995,1,396.46599999999995,2
1159,2023-07-15,0.0,0,,9
1160,2023-07-15,4244.589999999999,245,17.32485714285714,10
1161,2023-07-15,2630.11,104,25.289519230769233,11
1162,2023-07-15,81.28399999999999,10,8.1284,12
1163,2023-07-15,3044.076,204,14.921941176470588,13
1164,2023-07-15,0.0,0,,4
1165,2023-07-15,0.154,15,0.010266666666666667,6
1166,2023-07-15,80.416,1,80.416,7
1167,2023-07-15,0.0,0,,8
1168,2023-07-15,23.226,4,5.8065,14
1169,2023-07-15,121.464,108,1.1246666666666667,16
1170,2023-07-15,0.0,0,,17
1171,2023-07-15,1590.652,125,12.725216,18
1172,2023-07-16,0.0,213,0.0,
1173,2023-07-16,0.0,0,,1
1174,2023-07-16,0.0,0,,2
1175,2023-07-16,55.832,6,9.305333333333333,9
1176,2023-07-16,3716.9019999999996,216,17.207879629629627,10
1177,2023-07-16,1796.0039999999997,69,26.029043478260864,11
1178,2023-07-16,151.77399999999997,17,8.927882352941175,12
1179,2023-07-16,3092.124,192,16.104812499999998,13
1180,2023-07-16,0.0,0,,4
1181,2023-07-16,386.94599999999997,73,5.300630136986301,6
1182,2023-07-16,0.0,0,,7
1183,2023-07-16,0.0,0,,8
1184,2023-07-16,23.240000000000002,4,5.8100000000000005,14
1185,2023-07-16,136.878,76,1.8010263157894735,16
1186,2023-07-16,1185.758,94,12.614446808510639,18
1187,2023-07-17,0.0,160,0.0,
1188,2023-07-17,0.0,0,,1
1189,2023-07-17,0.0,0,,2
1190,2023-07-17,55.888,6,9.314666666666666,9
1191,2023-07-17,3404.3379999999997,199,17.107226130653267,10
1192,2023-07-17,2439.64,92,26.51782608695652,11
1193,2023-07-17,131.922,11,11.992909090909091,12
1194,2023-07-17,3468.7519999999995,210,16.517866666666663,13
1195,2023-07-17,0.0,0,,4
1196,2023-07-17,100.63199999999999,28,3.594,6
1197,2023-07-17,1259.1319999999998,7,179.87599999999998,7
1198,2023-07-17,31.08,1,31.08,8
1199,2023-07-17,54.278,10,5.4277999999999995,14
1200,2023-07-17,190.18999999999997,108,1.7610185185185183,16
1201,2023-07-17,2052.54,158,12.990759493670886,18
1202,2023-07-18,0.0,183,0.0,
1203,2023-07-18,0.0,0,,1
1204,2023-07-18,3104.36,3,1034.7866666666666,2
1205,2023-07-18,0.0,0,,3
1206,2023-07-18,13.958,1,13.958,9
1207,2023-07-18,3601.5559999999996,210,17.150266666666663,10
1208,2023-07-18,2516.724,92,27.355695652173914,11
1209,2023-07-18,232.23199999999997,14,16.587999999999997,12
1210,2023-07-18,2891.14,179,16.151620111731845,13
1211,2023-07-18,0.0,0,,4
1212,2023-07-18,75.432,21,3.592,6
1213,2023-07-18,1009.1339999999999,8,126.14174999999999,7
1214,2023-07-18,0.0,0,,8
1215,2023-07-18,7.742,1,7.742,14
1216,2023-07-18,178.57,104,1.7170192307692307,16
1217,2023-07-18,0.0,0,,17
1218,2023-07-18,1892.5759999999998,146,12.962849315068492,18
1219,2023-07-19,0.0,178,0.0,
1220,2023-07-19,0.0,0,,1
1221,2023-07-19,374.836,3,124.94533333333334,2
1222,2023-07-19,41.65,4,10.4125,9
1223,2023-07-19,3596.432,207,17.37406763285024,10
1224,2023-07-19,2968.07,116,25.586810344827587,11
1225,2023-07-19,70.336,7,10.048,12
1226,2023-07-19,3099.4179999999997,199,15.5749648241206,13
1227,2023-07-19,0.0,0,,4
1228,2023-07-19,30.268,13,2.328307692307692,6
1229,2023-07-19,374.122,4,93.5305,7
1230,2023-07-19,0.0,0,,8
1231,2023-07-19,30.688,6,5.1146666666666665,14
1232,2023-07-19,185.752,125,1.486016,16
1233,2023-07-19,1937.908,150,12.919386666666666,18
1234,2023-07-20,0.0,186,0.0,
1235,2023-07-20,0.0,0,,1
1236,2023-07-20,0.0,0,,2
1237,2023-07-20,23.044,3,7.681333333333334,3
1238,2023-07-20,69.16,7,9.879999999999999,9
1239,2023-07-20,3505.348,206,17.016252427184465,10
1240,2023-07-20,3026.1420000000003,111,27.26254054054054,11
